,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
61,62,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
62,63,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
63,64,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
64,65,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
65,66,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
66,67,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
67,68,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
68,69,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
69,70,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
70,71,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
71,72,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
72,73,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
73,74,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
74,75,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
75,76,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
76,77,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
77,78,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
78,79,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
79,80,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
80,81,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
81,82,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
82,83,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
83,84,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
84,85,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
85,86,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
86,87,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
87,88,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
