,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
154,155,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
155,156,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
156,157,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
157,158,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
158,159,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
159,160,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
160,161,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
161,162,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
162,163,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
163,164,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
164,165,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
165,166,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
166,167,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
167,168,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
168,169,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
169,170,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
170,171,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
171,172,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
172,173,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
173,174,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
174,175,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
175,176,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
176,177,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
177,178,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
178,179,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
179,180,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
180,181,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
181,182,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
182,183,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
183,184,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
184,185,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
185,186,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
186,187,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
187,188,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
188,189,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
189,190,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
190,191,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
